复杂度识别准确率统计报告
============================================================

总体统计:
  总测试用例数: 198
  正确识别数: 60
  准确率: 30.30%

按复杂度类型统计:
------------------------------------------------------------
  O(log n): 60/198 (30.30%)

识别错误的案例:
------------------------------------------------------------
  results_python_logn_0002: 实际=O(log n), 预测=O(n^3)
  results_python_logn_0161: 实际=O(log n), 预测=O(n)
  results_python_logn_0162: 实际=O(log n), 预测=O(n^3)
  results_python_logn_0163: 实际=O(log n), 预测=O(n^2)
  results_python_logn_0164: 实际=O(log n), 预测=O(n^k)
  results_python_logn_0166: 实际=O(log n), 预测=O(n^3)
  results_python_logn_0167: 实际=O(log n), 预测=O(n^3)
  results_python_logn_0168: 实际=O(log n), 预测=O(1)
  results_python_logn_0169: 实际=O(log n), 预测=O(n^3)
  results_python_logn_0171: 实际=O(log n), 预测=O(n^3)
  results_python_logn_0176: 实际=O(log n), 预测=O(2^n)
  results_python_logn_0180: 实际=O(log n), 预测=O(n^k)
  results_python_logn_0181: 实际=O(log n), 预测=O(n)
  results_python_logn_0182: 实际=O(log n), 预测=O(n^2)
  results_python_logn_0183: 实际=O(log n), 预测=O(n^k)
  results_python_logn_0184: 实际=O(log n), 预测=O(n^2)
  results_python_logn_0187: 实际=O(log n), 预测=O(n^3)
  results_python_logn_0188: 实际=O(log n), 预测=O(n^3)
  results_python_logn_0190: 实际=O(log n), 预测=O(1)
  results_python_logn_0192: 实际=O(log n), 预测=O(n^3)
  results_python_logn_0193: 实际=O(log n), 预测=O(n^3)
  results_python_logn_0194: 实际=O(log n), 预测=O(n^2)
  results_python_logn_0195: 实际=O(log n), 预测=O(n^2)
  results_python_logn_0196: 实际=O(log n), 预测=O(n^3)
  results_python_logn_0198: 实际=O(log n), 预测=O(n^2)
  results_python_logn_0199: 实际=O(log n), 预测=O(n^3)
  results_python_logn_0201: 实际=O(log n), 预测=O(n^2)
